"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
apologize,224.422583468549,8.62987605618146,-448.845166937097,34.4759250353069,1.42555323786823,68.9518500706139
boast,171.774889913013,14.6249281335777,-343.549779826026,33.2577999093379,5.78823776072762,66.5155998186759
complain,241.694532247508,10.7174299189053,-483.389064495016,36.7331716541104,2.80103536982821,73.4663433082207
congratulate,179.95220571542,20.2873969641261,-359.904411430839,33.3120540254696,5.63058014554346,66.6241080509392
convince,31.9206276251959,5.64756662398237,-63.8412552503918,15.3251701418622,1.33070722050753,30.6503402837244
disprove,12.3745774808704,5.87163071165145,-24.7491549617409,12.9259835546985,2.39945910476849,25.8519671093969
dissuade,17.2704778874816,6.29778910090963,-34.5409557749633,12.083283018464,1.65481622083076,24.166566036928
doubt,18.8413104439044,5.72468657065375,-37.6826208878089,12.597678068309,1.92801172733582,25.1953561366181
fear,318.882208034647,8.47883478242356,-637.764416069295,44.1688125676203,3.66297362849513,88.3376251352406
hate,425.454072138041,4.42870943923989,-850.908144276083,47.3419541289879,0.77648010014361,94.6839082579758
hope,530.106793712199,5.94584013786088,-1060.2135874244,45.8407457767867,0.799730760196328,91.6814915535735
know,21.1142369919883,5.50535202205072,-42.2284739839766,13.6554200566289,1.49446904497526,27.3108401132578
lie,17.574282506933,7.92641351679717,-35.148565013866,12.0038129410434,2.31773956348574,24.0076258820867
like,586.259786463013,10.0874785324135,-1172.51957292603,49.38257864726,4.48625883023704,98.76515729452
love,566.913023455256,5.74268887699532,-1133.82604691051,47.3335931379564,0.858436398892228,94.6671862759128
mislead,15.66113138054,6.02762659695398,-31.3222627610799,11.9740807356804,1.69824005261447,23.9481614713609
notify,2.44554888438685,2.35318473971233,-4.8910977687737,9.30131541734184,0.426728218562984,18.6026308346837
persuade,0.925365743968819,3.45697175766281,-1.85073148793764,9.98156374044444,0.877799063058205,19.9631274808889
regret,367.620663133314,4.34488968676482,-735.241326266628,43.3640363791967,0.536234891268911,86.7280727583934
remember,1.64558171465261,1.92683786215178,-3.29116342930522,8.28550187441709,0.198372094130093,16.5710037488342
tell,5.86528172854722,5.34364281240069,-11.7305634570944,10.4247326359174,2.23593798152264,20.8494652718348
think,33.7142298639076,6.80123306397995,-67.4284597278151,14.7184121960698,2.09176797623692,29.4368243921396
wish,659.978749843941,7.37048430182957,-1319.95749968788,47.3273218129112,1.40407530472485,94.6546436258224
worry,212.32976680218,7.24348328070501,-424.659533604359,34.5692201457401,2.07774153886527,69.1384402914803
