scenario,polarity-tense,2.5%,25%,50%,75%,97.5%,mean,sd
accountant:know,positive-past,-2.37693435214039,-2.1354736743711,-2.0085099825904296,-1.88906152764997,-1.6643662011254299,-2.0128557048465665,0.1815786928049752
accountant:know,positive-future,-1.920172433701063,-1.4882807951442878,-1.274838832971571,-1.0606086409179252,-0.6628856836383801,-1.2777180112750406,0.3214082335282871
accountant:know,negative-past,-1.12842186496325,-0.7383874891949604,-0.53183107663098,-0.3264708088599797,0.05747408102170004,-0.5325757256579733,0.3049417894445457
accountant:know,negative-future,-1.481603960818799,-1.1301497351800949,-0.95330535255268,-0.77405849836652,-0.4449775505090805,-0.9551525284582094,0.2640278107711141
actor:hate,positive-past,1.08832226063724,1.30236703383022,1.4147648037540201,1.52745603109672,1.74873920654695,1.4156026523579694,0.16761202930416086
actor:hate,positive-future,-0.2554141613654701,0.18260431817681,0.3947976848396231,0.6054304167348559,0.9894043226283358,0.38875607201440454,0.31740046655137166
actor:hate,negative-past,0.1879505342788601,0.55841556548727,0.754125572522548,0.9544804485329611,1.3531645809325168,0.7580118662231579,0.29628963176949696
actor:hate,negative-future,0.22413392067860993,0.55307209085024,0.727857651513834,0.9077071893116249,1.249461596480372,0.7305562190687855,0.2616612131535571
analyst:notify,positive-past,-2.5936938681843102,-2.34860250666287,-2.22369712147488,-2.10180252959365,-1.8758232369922399,-2.2267305661362586,0.18259105727857267
analyst:notify,positive-future,-1.695194910024536,-1.2781266427572338,-1.0672562768298899,-0.8602316854564502,-0.4674587100125296,-1.0705067364482126,0.3138614811468788
analyst:notify,negative-past,-1.8234023323046302,-1.4193874493319658,-1.2179076139214098,-1.0194204508223104,-0.6468987914676203,-1.2228402125276312,0.2988409831734169
analyst:notify,negative-future,-1.4212519738462848,-1.046052542698732,-0.8508096353609802,-0.6468748256751602,-0.2530272213475302,-0.8459070831122916,0.29751416387057883
assistant:wish,positive-past,1.20306319587077,1.43664645469422,1.5612613716271002,1.6916238248253,1.9433796513960901,1.5648168412706758,0.18861456306135907
assistant:wish,positive-future,-0.2456258980068502,0.1542714575019799,0.3710272805319299,0.5919432123557802,1.0324417950890399,0.3764623321828195,0.32628849540914184
assistant:wish,negative-past,0.22667488691541005,0.6128766219855759,0.8114624926153899,1.00314952614146,1.380641640481124,0.8089385827240941,0.2928673906879456
assistant:wish,negative-future,0.2786636554192701,0.6245768259459218,0.803642054599159,0.987681965931701,1.3359658515209691,0.805886785506645,0.2689578096582442
baker:know,positive-past,1.8531179602891201,2.07715727924216,2.1984335277538802,2.32148845035256,2.5675763956959,2.20174164045494,0.18121112346173965
baker:know,positive-future,0.8391057808523101,1.2145100079486695,1.416758669890225,1.6328749681319321,2.054102722700986,1.4264234947418082,0.3089844831409004
baker:know,negative-past,1.0907660174809508,1.4606656176969999,1.6528874974364312,1.853300117923649,2.2404067617921033,1.6566633491776999,0.2917284583205732
baker:know,negative-future,0.8801286110537798,1.242977906080006,1.4257348079578969,1.6089896012375489,1.9691631346831058,1.4254637073898002,0.275933805601483
basketballplayer:hate,positive-past,1.31181343162302,1.50617574777989,1.60828673413954,1.7121482940138502,1.9137070816887098,1.6098906408770648,0.15237012996390767
basketballplayer:hate,positive-future,-0.40753140870721016,0.004632882988010012,0.20314515856687,0.40103226997422403,0.771751632320783,0.19867360766509592,0.2997622106004804
basketballplayer:hate,negative-past,0.47694023983580003,0.8604324290525621,1.0673105514334948,1.267916739649565,1.680135458304255,1.0672691742789113,0.3047472381910041
basketballplayer:hate,negative-future,0.6320392973229207,0.9567181437971602,1.131217330668885,1.312360844777953,1.6729854945170248,1.1378156164532187,0.2667885230442273
batter:worry,positive-past,1.70478018530546,1.9090883569084098,2.01881985619724,2.13298665189351,2.3529221731787797,2.0223348859493266,0.16581680393182044
batter:worry,positive-future,-0.5359608613576801,-0.11324624356843982,0.10095371629039973,0.3070804972974901,0.6890536097350102,0.09258182488575498,0.31385174678388983
batter:worry,negative-past,1.2913715952794749,1.6370973534214701,1.829558466477579,2.0220158596737723,2.403189514500712,1.832762668000023,0.2836484398210762
batter:worry,negative-future,0.5461244940006302,0.92073078600926,1.1175325107217442,1.3124492739526847,1.6817625973600627,1.1161459110632101,0.28935719366365276
bookkeeper:lie,positive-past,1.2684262091503202,1.4955204997199898,1.62062483388331,1.7481637086237902,1.9962000580075703,1.6237811620597404,0.18582839171872692
bookkeeper:lie,positive-future,-1.4398188306778699,-1.0032613702855098,-0.7815521580850902,-0.5572009319688398,-0.13263169705331013,-0.782041771692117,0.3324606553123317
bookkeeper:lie,negative-past,0.5622869697181858,0.9239315419362459,1.113253627860863,1.3111847317689982,1.6961044817793365,1.1189260738709312,0.28849410421539246
bookkeeper:lie,negative-future,0.10471077648446991,0.43515138885724813,0.6107677526203501,0.7832907992945479,1.1356795999960911,0.6113733949589758,0.2615028327355332
boss:tell,positive-past,-1.71169491621674,-1.45408681319972,-1.3266551824348898,-1.2000550238193601,-0.9661694990338481,-1.3301020027044161,0.18994162786010568
boss:tell,positive-future,-1.6493179560734939,-1.229309388291726,-1.0229508974719268,-0.817143428365934,-0.4380313766565328,-1.0271356012397013,0.30895523344697484
boss:tell,negative-past,-1.368283546052374,-0.996651532277051,-0.810026383009505,-0.6287416092725979,-0.2848073369652111,-0.814205506756166,0.27532766746189413
boss:tell,negative-future,-1.3326952337540738,-0.9757909264698897,-0.796385179374932,-0.614362436712978,-0.2733475695674601,-0.7968660042324625,0.27027858900734286
